bill_id,page_start,page_end
19900257-1,13,14
19900273-1,8,9
19930053-1,117,141
19930066-1,97,110
19930452-1,10,10
19930462-1,2,5
19940013-1,55,65
19940028-2,83,94
19940427-1,9,9
19940441-1,1,2
19950015-2,67,78
19950016-1,52,57
19950019-1,33,41
19950024-1,43,59
19950024-2,60,65
19950025-1,36,49
19950031-2,35,36
19950031-3,37,38
19950032-1,17,17
19950036-1,43,43
19950039-1,24,24
19950041-1,108,108
19950043-1,18,19
19950047-1,11,11
19950048-1,11,11
19950048-2,12,12
19950048-3,42,44
19950048-4,76,82
19950048-6,107,108
19950048-7,113,114
19950054-1,30,30
19950056-1,10,10
19950057-1,17,17
19950059-1,29,38
19950060-1,83,83
19950065-1,20,21
19950070-1,11,11
19950071-1,33,43
19950082-1,29,39
19950088-1,146,178
19950088-2,182,187
19960004-1,11,11
19960007-1,29,42
19960011-1,30,30
19960013-1,20,21
19960019-1,8,8
19960021-1,117,122
19960021-2,129,131
19960022-1,159,159
19960024-1,8,8
19960026-2,24,26
19960031-1,14,14
19960033-1,26,26
19960033-2,26,26
19960034-2,13,15
19960036-1,23,23
19960040-1,38,41
19960041-1,43,43
19960043-1,11,11
19960045-1,25,26
19960047-1,137,137
19960048-1,85,102
19960049-1,52,57
19960050-2,78,83
19960055-1,68,80
19960057-1,53,57
19960058-2,93,104
19960059-1,174,175
19960059-2,176,179
19960067-1,150,159
19960069-1,32,32
19960072-1,27,32
19960073-1,13,14
19960078-4,26,26
19960082-1,9,10
19960090-1,65,72
19960090-2,73,74
19960090-3,75,76
19960090-4,77,82
19960090-5,87,88
19960092-1,86,86
19960093-1,37,37
19960094-1,34,41
19960096-1,18,19
19960099-1,10,10
19960099-2,11,11
19960115-1,22,24
19960117-1,13,13
19960400-1,2,3
19960429-1,7,7
19960460-1,1,1
19960464-1,1,5
19970011-1,29,29
19970015-1,18,18
19970016-1,37,37
19970017-1,31,37
19970018-1,56,71
19970019-1,7,7
19970020-1,28,28
19970021-1,33,34
19970022-1,50,57
19970023-1,138,138
19970024-1,49,49
19970027-4,64,66
19970029-1,19,19
19970034-1,40,42
19970035-1,42,42
19970036-1,27,28
19970038-1,5,5
19970040-1,29,30
19970040-2,31,31
19970041-1,25,25
19970042-1,46,47
19970046-1,14,17
19970047-1,38,38
19970052-1,52,56
19970052-2,57,57
19970054-1,74,74
19970055-1,121,128
19970058-2,18,18
19970063-3,35,35
19970065-1,10,11
19970066-1,17,17
19970068-1,28,28
19970069-1,31,31
19970071-1,5,5
19970073-1,7,7
19970074-1,21,22
19970076-1,28,28
19970083-1,60,60
19970417-1,1,1
19970445-1,18,19
19970445-2,20,21
19970447-1,17,27
19970448-1,6,6
19970457-1,1,1
19970462-1,1,1
19980004-2,21,21
19980004-3,22,22
19980006-1,73,73
19980008-1,13,15
19980013-1,27,27
19980016-1,8,8
19980018-1,30,30
19980019-1,126,126
19980020-1,23,23
19980022-1,29,34
19980025-1,28,28
19980031-1,11,11
19980033-1,63,65
19980039-3,13,13
19980040-1,13,13
19980041-1,24,26
19980042-1,73,73
19980047-1,25,25
19980047-2,26,26
19980049-1,59,59
19980050-1,4,4
19980056-1,14,15
19980057-1,13,13
19980059-1,144,171
19980060-1,51,51
19980062-1,23,25
19980066-1,9,9
19980074-1,39,39
19980075-1,1,8
19980075-2,1,1
19980411-1,1,2
19980418-1,1,2
19980444-1,1,2
19980451-1,1,3
19980454-1,1,2
19990023-1,1,11
19990024-1,1,4
19990024-2,1,1
19990025-1,10,10
19990026-1,1,4
19990026-2,1,1
19990027-1,1,9
19990028-1,1,1
19990028-2,1,2
19990028-3,1,3
19990028-4,1,18
19990028-6,1,1
19990028-7,1,3
19990028-8,1,5
19990028-9,1,1
19990033-1,1,1
19990033-2,1,4
19990034-1,1,3
19990038-1,1,3
19990039-1,1,2
19990042-1,1,1
19990042-2,1,1
19990047-1,1,2
19990048-1,1,1
19990049-1,1,1
19990050-1,1,1
19990051-1,1,6
19990052-1,1,2
19990053-1,1,1
19990054-1,1,2
19990055-1,1,11
19990057-10,1,2
19990057-11,1,1
19990057-12,1,2
19990057-4,1,5
19990057-5,1,2
19990057-6,1,2
19990057-7,1,1
19990057-8,1,1
19990057-9,1,2
19990058-1,1,2
19990062-1,1,1
19990062-2,1,1
19990065-1,1,2
19990067-1,1,20
19990067-2,1,5
19990068-2,1,2
19990073-1,1,3
19990074-1,1,2
19990074-2,1,1
19990076-2,1,7
19990078-1,1,1
19990078-2,1,1
19990079-1,1,1
19990081-1,1,2
19990082-1,1,2
19990082-2,1,4
19990084-1,1,2
19990084-2,1,2
19990086-1,1,1
19990087-1,1,2
19990087-2,1,1
19990088-1,1,1
19990089-1,1,1
19990090-1,1,22
19990091-1,1,2
19990092-1,1,1
19990093-1,1,4
19990093-10,1,4
19990093-11,1,5
19990093-2,1,2
19990093-3,1,1
19990093-4,1,4
19990093-5,1,1
19990093-6,1,4
19990093-7,1,4
19990093-8,1,4
19990093-9,1,2
19990095-1,1,2
19990096-1,1,1
19990408-1,1,1
19990420-1,1,1
19990436-1,1,4
19990440-1,1,5
19990451-1,1,4
19990464-1,1,5
19990467-1,1,4
20000007-1,1,1
20000007-2,1,1
20000007-3,1,1
20000009-1,1,2
20000012-1,1,1
20000013-1,1,3
20000013-3,1,3
20000013-4,1,2
20000014-1,1,2
20000014-2,1,24
20000014-3,1,1
20000015-1,1,2
20000015-2,1,1
20000018-1,1,14
20000018-2,1,1
20000019-1,1,1
20000020-1,1,18
20000020-2,1,1
20000023-1,1,1
20000023-2,1,1
20000024-1,1,3
20000024-2,1,1
20000025-1,1,4
20000027-1,1,16
20000028-1,1,2
20000029-1,1,1
20000030-1,1,1
20000032-1,1,1
20000033-1,1,1
20000035-1,1,1
20000036-1,1,1
20000038-1,1,1
20000040-1,1,1
20000041-1,1,2
20000041-2,1,1
20000043-1,1,1
20000043-2,1,1
20000044-1,1,9
20000045-1,1,4
20000047-1,1,4
20000048-1,1,2
20000050-1,1,1
20000051-1,1,2
20000052-1,1,46
20000053-1,1,2
20000054-1,1,1
20000055-1,1,6
20000057-1,1,7
20000060-1,1,2
20000060-2,1,3
20000066-1,1,1
20000068-1,1,1
20000069-1,1,1
20000070-1,1,17
20000070-2,1,1
20000071-1,1,1
20000072-1,1,32
20000073-1,1,1
20000073-2,1,1
20000074-1,1,1
20000075-1,1,3
20000075-2,1,1
20000076-1,1,3
20000077-1,1,1
20000078-1,1,10
20000080-1,1,2
20000083-1,1,1
20000084-1,1,1
20000085-1,1,1
20000090-1,1,2
20000090-2,1,20
20000090-3,1,2
20000092-1,1,1
20000094-2,1,9
20000094-3,1,1
20000095-1,1,6
20000096-1,1,1
20000403-1,1,3
20000403-2,1,1
20000404-1,1,1
20000405-1,1,2
20000415-1,1,1
20000419-1,1,2
20000431-1,1,10
20000434-1,1,1
20000435-1,1,1
20000456-1,1,1
20000459-1,1,2
20000461-1,1,10
20010003-1,1,1
20010003-2,1,1
20010003-3,1,1
20010003-4,1,1
20010003-5,1,1
20010009-1,1,1
20010012-1,1,1
20010013-1,1,1
20010014-1,1,3
20010015-1,1,24
20010016-1,1,1
20010016-2,1,1
20010017-1,1,1
20010018-1,1,7
20010019-1,1,25
20010022-3,1,39
20010023-1,1,36
20010023-12,1,1
20010023-2,1,22
20010023-3,1,75
20010023-4,1,1
20010023-8,1,5
20010026-1,1,1
20010029-1,1,2
20010030-1,1,1
20010031-1,1,1
20010031-2,1,1
20010031-3,1,3
20010032-1,1,1
20010034-1,1,2
20010035-1,1,1
20010037-1,1,2
20010038-1,1,1
20010038-2,1,1
20010039-1,1,2
20010040-1,1,2
20010041-1,1,1
20010042-1,1,1
20010044-1,1,15
20010051-1,1,4
20010051-2,1,1
20010052-1,1,1
20010053-1,1,1
20010054-1,1,20
20010055-1,1,1
20010056-1,1,2
20010056-2,1,1
20010057-1,1,24
20010058-1,1,1
20010058-2,1,15
20010058-3,1,2
20010060-1,1,12
20010062-1,1,19
20010063-1,1,1
20010064-1,1,9
20010065-1,1,12
20010065-2,1,2
20010065-3,1,4
20010065-4,1,6
20010067-1,1,2
20010068-1,1,1
20010069-1,1,18
20010069-2,1,3
20010069-3,1,3
20010070-1,1,1
20010071-1,1,4
20010072-1,1,2
20010073-1,1,1
20010074-1,1,6
20010074-2,1,16
20010076-1,1,1
20010076-3,1,1
20010076-5,1,5
20010077-1,1,12
20010077-2,1,1
20010078-1,1,1
20010079-1,1,7
20010080-6,1,4
20010081-1,1,1
20010082-1,1,40
20010300-1,1,2
20010400-1,1,2
20010401-1,1,59
20010408-1,1,2
20010418-1,1,2
20010426-1,1,12
20010451-1,1,2
20010457-1,1,3
20010465-1,1,1
20020003-1,1,1
20020003-2,1,1
20020003-3,1,1
20020003-4,1,1
20020003-5,1,1
20020003-6,1,1
20020003-7,1,1
20020003-8,1,1
20020008-1,1,1
20020010-1,1,12
20020014-1,1,1
20020015-1,1,2
20020017-1,1,1
20020019-1,1,4
20020020-1,1,2
20020021-1,1,2
20020022-1,1,12
20020023-1,1,14
20020023-2,1,1
20020023-3,1,2
20020024-1,1,41
20020025-1,1,1
20020026-1,1,1
20020026-2,1,1
20020026-3,1,1
20020029-1,1,2
20020031-1,1,1
20020031-2,1,1
20020035-1,1,1
20020038-1,1,1
20020039-1,1,1
20020039-2,1,1
20020041-1,1,1
20020041-2,1,2
20020042-1,1,1
20020043-1,1,2
20020045-1,1,1
20020046-1,1,13
20020046-2,1,1
20020046-3,1,4
20020046-4,1,4
20020046-5,1,1
20020046-6,1,2
20020046-7,1,1
20020047-1,1,10
20020049-1,1,2
20020050-1,1,22
20020051-1,1,2
20020052-1,1,6
20020052-2,1,1
20020053-2,1,2
20020054-1,1,1
20020058-1,1,12
20020059-1,1,1
20020060-1,1,24
20020060-2,1,2
20020060-3,1,1
20020061-1,1,1
20020062-1,1,1
20020064-1,1,1
20020065-1,1,15
20020066-1,1,1
20020067-1,1,1
20020067-2,1,1
20020067-3,1,1
20020068-1,1,1
20020069-1,1,2
20020069-2,1,1
20020070-1,1,2
20020071-1,1,2
20020072-1,1,5
20020072-2,1,2
20020072-3,1,1
20020072-4,1,1
20020073-1,1,2
20020074-1,1,1
20020075-1,1,1
20020076-1,1,1
20020077-1,1,3
20020078-1,1,2
20020079-1,1,2
20020079-2,1,1
20020080-1,1,1
20020081-1,1,21
20020082-1,1,1
20020083-1,1,11
20020084-1,1,10
20020085-1,1,1
20020086-1,1,2
20020089-1,1,2
20020089-10,1,2
20020089-11,1,1
20020089-12,1,2
20020089-13,1,1
20020089-2,1,1
20020089-3,1,2
20020089-4,1,1
20020089-5,1,1
20020089-6,1,1
20020089-7,1,2
20020089-8,1,1
20020089-9,1,1
20020090-1,1,9
20020092-1,1,12
20020093-1,1,54
20020303-1,1,4
20020400-1,1,3
20020400-2,1,3
20020402-1,1,2
20020408-1,1,1
20020415-1,1,2
20020422-1,1,2
20020423-1,1,2
20020423-2,1,3
20020424-1,1,4
20020425-1,1,1
20020435-1,1,2
20020436-1,1,10
20020439-1,1,2
20020440-1,1,2
20020444-1,1,1
20020468-1,1,2
20020473-1,1,2
20020475-1,1,2
20020475-2,1,2
20030001-1,1,1
20030003-1,1,3
20030003-3,1,1
20030003-4,1,1
20030003-5,1,1
20030003-6,1,1
20030003-7,1,1
20030008-1,1,4
20030012-1,1,1
20030013-1,1,11
20030014-1,1,12
20030015-1,1,1
20030016-1,1,9
20030016-2,1,1
20030017-1,1,2
20030019-1,1,1
20030021-2,1,1
20030022-1,1,1
20030023-1,1,1
20030024-1,1,1
20030025-1,1,1
20030027-1,1,1
20030028-1,1,1
20030029-1,1,1
20030030-1,1,1
20030031-1,1,1
20030032-1,1,1
20030033-1,1,1
20030034-1,1,1
20030035-1,1,35
20030035-2,1,6
20030036-1,1,3
20030036-2,1,1
20030038-1,1,1
20030038-2,1,1
20030039-1,1,2
20030040-1,1,2
20030041-1,1,2
20030042-1,1,1
20030043-1,1,1
20030044-1,1,3
20030045-1,1,1
20030046-1,1,2
20030047-1,1,15
20030047-2,1,5
20030047-3,1,1
20030047-4,1,1
20030047-5,1,1
20030050-1,1,1
20030053-1,1,8
20030053-2,1,2
20030054-1,1,1
20030054-2,1,1
20030055-1,1,2
20030055-2,1,1
20030057-1,1,2
20030058-1,45,46
20030059-1,1,2
20030060-1,1,6
20030061-1,1,2
20030062-1,1,2
20030063-1,7,8
20030066-1,1,2
20030067-1,1,2
20030068-1,1,2
20030071-1,1,2
20030072-1,1,8
20030073-1,1,18
20030074-1,1,2
20030075-1,1,2
20030076-1,1,8
20030077-1,1,2
20030078-1,1,56
20030079-1,1,2
20030410-1,1,4
20030416-1,1,2
20030419-1,1,1
20030421-1,1,2
20030423-1,1,12
20030428-1,1,4
20030445-1,1,2
20030454-1,1,2
20030459-1,1,2
20030460-1,1,2
20030463-1,1,1
20040005-1,1,2
20040010-1,1,4
20040013-1,1,4
20040017-1,1,2
20040018-1,1,2
20040019-1,1,2
20040020-1,1,2
20040021-1,1,8
20040022-1,1,2
20040024-1,1,2
20040025-1,1,4
20040026-1,1,2
20040027-1,1,2
20040028-1,1,2
20040029-1,1,2
20040029-2,1,2
20040029-3,1,2
20040030-1,1,2
20040031-1,1,2
20040031-2,1,2
20040033-1,1,4
20040033-2,1,2
20040035-1,1,4
20040035-2,1,2
20040038-1,1,2
20040041-1,1,2
20040045-1,1,2
20040046-1,1,12
20040051-1,1,4
20040052-1,1,14
20040053-1,1,2
20040055-1,1,2
20040056-1,1,2
20040056-2,1,2
20040056-3,1,2
20040056-4,1,2
20040057-1,1,2
20040057-2,1,2
20040060-1,1,2
20040061-1,1,6
20040062-1,1,4
20040063-1,1,2
20040063-2,1,2
20040063-3,1,2
20040063-4,1,2
20040063-5,1,2
20040063-6,1,32
20040063-7,1,2
20040063-8,1,12
20040064-1,1,2
20040065-1,1,12
20040066-1,1,10
20040068-1,1,2
20040069-1,1,2
20040070-1,1,2
20040071-1,1,2
20040072-1,1,4
20040073-1,1,2
20040074-1,1,6
20040075-1,1,2
20040077-1,1,2
20040077-2,1,2
20040078-1,1,4
20040079-1,1,20
20040080-1,1,6
20040080-3,1,2
20040081-1,1,4
20040082-1,1,2
20040083-2,1,16
20040084-1,1,24
20040085-1,1,12
20040086-1,1,2
20040087-1,1,2
20040400-1,1,2
20040401-1,1,2
20040429-1,1,12
20040430-1,1,6
20040438-1,1,4
20040439-1,1,6
20040444-1,1,2
20040457-1,1,2
20040463-1,1,2
20040472-1,1,4
20040476-1,1,4
20050009-1,1,2
20050009-2,1,2
20050016-1,1,2
20050017-1,1,2
20050018-1,1,2
20050019-1,1,1
20050022-1,1,2
20050024-1,1,30
20050025-1,1,2
20050026-1,1,2
20050027-1,1,4
20050028-11,1,26
20050028-9,1,38
20050029-1,1,2
20050030-1,1,4
20050034-1,1,2
20050035-1,1,2
20050036-1,1,2
20050037-1,1,2
20050040-1,1,4
20050040-2,1,2
20050041-1,1,2
20050041-2,1,2
20050044-1,1,2
20050045-1,1,1
20050046-1,1,2
20050046-2,1,18
20050048-1,1,2
20050049-1,1,2
20050049-2,1,2
20050052-1,1,20
20050053-1,1,2
20050056-1,1,2
20050056-2,1,2
20050056-3,1,2
20050058-1,1,10
20050060-1,1,6
20050061-1,1,2
20050062-1,1,2
20050063-1,1,2
20050064-1,1,2
20050065-1,1,6
20050066-1,1,2
20050066-2,1,2
20050068-1,1,2
20050069-1,1,2
20050070-1,1,38
20050070-2,1,2
20050071-1,1,12
20050071-2,1,1
20050072-1,1,54
20050073-1,1,18
20050073-2,1,2
20050074-1,1,2
20050075-1,1,2
20050076-1,1,2
20050078-1,1,18
20050079-1,1,12
20050080-1,1,10
20050080-2,1,2
20050080-3,1,2
20050080-4,1,2
20050080-5,1,2
20050081-1,1,4
20050082-1,1,32
20050082-2,1,2
20050083-1,1,10
20050083-2,1,2
20050084-1,1,4
20050086-1,1,4
20050087-1,1,2
20050088-1,1,4
20050090-1,1,2
20050091-1,1,2
20050092-1,1,170
20050092-2,1,16
20050404-1,1,4
20050411-1,1,2
20050428-1,1,2
20050449-1,1,6
20050449-2,1,2
20050463-1,1,2
20050470-1,1,16
20060001-1,1,2
20060002-1,1,2
20060002-2,1,2
20060002-3,1,2
20060002-4,1,2
20060008-1,1,26
20060009-1,1,10
20060010-1,1,4
20060014-1,1,2
20060014-2,1,2
